Product_Name,Category,Manufacture_Date,Expiry_Date,Manufacturer,Stock_Quantity,Sales_Trend,Days_to_Expiry,Discount_Band
Frozen Pizza,Frozen,19/04/2025,28/05/2026,QuickMeals,128,Low,219,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,163,Low,1,5%
Frozen Pizza,Frozen,06/06/2025,30/05/2026,QuickMeals,82,Medium,221,0%
Yogurt,Dairy,03/10/2025,24/10/2025,DairyLand,114,Medium,3,20%
Apples,Produce,11/10/2025,03/11/2025,Orchard Gold,177,Medium,13,0%
Bananas,Produce,19/10/2025,28/10/2025,Tropicana,236,Medium,7,10%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,70,Low,2,20%
Apples,Produce,05/10/2025,30/10/2025,Orchard Gold,111,High,9,0%
Ground Beef,Meat,18/10/2025,22/10/2025,Quality Meats,242,Medium,1,20%
Soda (6-pack),Beverage,02/10/2025,28/02/2026,Bubbly Co.,295,Low,130,0%
Fresh Milk,Dairy,21/10/2025,02/11/2025,FarmFresh,74,Medium,12,0%
Apples,Produce,07/10/2025,31/10/2025,Orchard Gold,37,Low,10,10%
Frozen Pizza,Frozen,20/07/2025,20/05/2026,QuickMeals,237,High,211,0%
Fresh Milk,Dairy,19/10/2025,31/10/2025,FarmFresh,185,Low,10,10%
Soda (6-pack),Beverage,18/07/2025,08/02/2026,Bubbly Co.,266,High,110,0%
Fresh Milk,Dairy,12/10/2025,26/10/2025,FarmFresh,74,Low,5,15%
Bananas,Produce,21/10/2025,30/10/2025,Tropicana,190,High,9,0%
Frozen Pizza,Frozen,07/07/2025,28/04/2026,QuickMeals,107,High,189,0%
Soda (6-pack),Beverage,04/09/2025,07/03/2026,Bubbly Co.,220,Low,137,0%
Fresh Milk,Dairy,14/10/2025,28/10/2025,FarmFresh,284,Medium,7,10%
Apples,Produce,16/10/2025,06/11/2025,Orchard Gold,233,Medium,16,0%
Chicken Breast,Meat,16/10/2025,22/10/2025,Quality Meats,165,Medium,1,20%
Ground Beef,Meat,20/10/2025,24/10/2025,Quality Meats,152,Low,3,20%
Cheddar Cheese,Dairy,18/08/2025,25/10/2025,DairyLand,217,Medium,4,10%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,286,Medium,2,20%
Cheddar Cheese,Dairy,30/08/2025,28/10/2025,DairyLand,23,Low,7,15%
Apples,Produce,20/10/2025,13/11/2025,Orchard Gold,202,Medium,23,0%
Soda (6-pack),Beverage,08/08/2025,20/02/2026,Bubbly Co.,205,High,122,0%
Apples,Produce,06/10/2025,29/10/2025,Orchard Gold,166,High,8,0%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,38,High,2,20%
Chicken Breast,Meat,18/10/2025,25/10/2025,Quality Meats,298,High,4,15%
Bananas,Produce,16/10/2025,23/10/2025,Tropicana,131,Medium,2,20%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,123,Low,2,20%
Frozen Pizza,Frozen,13/09/2024,03/11/2025,QuickMeals,290,Low,13,10%
Apples,Produce,09/10/2025,30/10/2025,Orchard Gold,214,Medium,9,10%
Cheddar Cheese,Dairy,14/10/2025,24/12/2025,DairyLand,64,Low,64,0%
Frozen Pizza,Frozen,24/02/2025,04/01/2026,QuickMeals,268,Medium,75,0%
Soda (6-pack),Beverage,21/05/2025,05/11/2025,Bubbly Co.,206,Medium,15,0%
Cheddar Cheese,Dairy,27/08/2025,29/10/2025,DairyLand,49,High,8,0%
Ground Beef,Meat,19/10/2025,23/10/2025,Quality Meats,67,Low,2,20%
Cheddar Cheese,Dairy,10/09/2025,07/11/2025,DairyLand,137,Medium,17,0%
Yogurt,Dairy,11/10/2025,28/10/2025,DairyLand,251,Low,7,15%
Yogurt,Dairy,03/10/2025,24/10/2025,DairyLand,192,High,3,20%
Cheddar Cheese,Dairy,16/09/2025,18/11/2025,DairyLand,241,High,28,0%
Bananas,Produce,21/10/2025,27/10/2025,Tropicana,22,High,6,0%
Chicken Breast,Meat,18/10/2025,24/10/2025,Quality Meats,166,Low,3,20%
Cheddar Cheese,Dairy,28/08/2025,24/10/2025,DairyLand,187,Medium,3,20%
Soda (6-pack),Beverage,20/08/2025,23/01/2026,Bubbly Co.,71,Low,94,0%
Yogurt,Dairy,09/10/2025,25/10/2025,DairyLand,74,Medium,4,5%
Apples,Produce,09/10/2025,05/11/2025,Orchard Gold,24,High,15,0%
Frozen Pizza,Frozen,13/07/2025,25/08/2026,QuickMeals,102,High,308,15%
Soda (6-pack),Beverage,19/06/2025,23/11/2025,Bubbly Co.,12,Medium,33,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,90,Medium,1,20%
Baguette,Bakery,21/10/2025,24/10/2025,DailyBread,239,Low,3,5%
Ground Beef,Meat,21/10/2025,25/10/2025,Quality Meats,164,Low,4,15%
Frozen Pizza,Frozen,09/08/2025,22/07/2026,QuickMeals,12,Medium,274,0%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,75,Medium,2,20%
Yogurt,Dairy,21/10/2025,07/11/2025,DairyLand,212,High,17,0%
Soda (6-pack),Beverage,20/09/2025,11/04/2026,Bubbly Co.,34,Medium,172,5%
Cheddar Cheese,Dairy,04/10/2025,26/11/2025,DairyLand,204,Low,36,0%
Cheddar Cheese,Dairy,15/10/2025,06/12/2025,DairyLand,164,Medium,46,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,275,Medium,1,20%
Cheddar Cheese,Dairy,18/09/2025,07/11/2025,DairyLand,180,Low,17,0%
Fresh Milk,Dairy,09/10/2025,22/10/2025,FarmFresh,145,Medium,1,20%
Chicken Breast,Meat,17/10/2025,24/10/2025,Quality Meats,238,Low,3,20%
Yogurt,Dairy,09/10/2025,25/10/2025,DairyLand,230,High,4,10%
Ground Beef,Meat,19/10/2025,23/10/2025,Quality Meats,192,Low,2,20%
Chicken Breast,Meat,19/10/2025,25/10/2025,Quality Meats,129,Low,4,15%
Ground Beef,Meat,18/10/2025,22/10/2025,Quality Meats,167,High,1,20%
Apples,Produce,20/10/2025,14/11/2025,Orchard Gold,193,High,24,0%
Yogurt,Dairy,12/10/2025,04/11/2025,DairyLand,140,Low,14,10%
Soda (6-pack),Beverage,16/08/2025,24/01/2026,Bubbly Co.,80,High,95,0%
Ground Beef,Meat,18/10/2025,22/10/2025,Quality Meats,145,Medium,1,20%
Fresh Milk,Dairy,14/10/2025,26/10/2025,FarmFresh,52,Low,5,15%
Ground Beef,Meat,18/10/2025,23/10/2025,Quality Meats,164,Medium,2,20%
Ground Beef,Meat,21/10/2025,26/10/2025,Quality Meats,22,High,5,15%
Apples,Produce,14/10/2025,08/11/2025,Orchard Gold,109,Medium,18,0%
Cheddar Cheese,Dairy,01/10/2025,20/11/2025,DairyLand,39,Low,30,0%
Frozen Pizza,Frozen,24/08/2025,04/09/2026,QuickMeals,169,Low,318,0%
Frozen Pizza,Frozen,14/01/2025,25/01/2026,QuickMeals,135,Low,96,0%
Fresh Milk,Dairy,13/10/2025,25/10/2025,FarmFresh,16,High,4,0%
Ground Beef,Meat,18/10/2025,23/10/2025,Quality Meats,73,Medium,2,20%
Fresh Milk,Dairy,19/10/2025,29/10/2025,FarmFresh,74,High,8,0%
Cheddar Cheese,Dairy,14/09/2025,23/11/2025,DairyLand,191,High,33,0%
Cheddar Cheese,Dairy,04/10/2025,04/12/2025,DairyLand,21,Medium,44,0%
Cheddar Cheese,Dairy,28/08/2025,28/10/2025,DairyLand,58,Low,7,15%
Soda (6-pack),Beverage,20/10/2025,23/05/2026,Bubbly Co.,88,Low,214,0%
Bananas,Produce,21/10/2025,29/10/2025,Tropicana,35,Medium,8,0%
Ground Beef,Meat,19/10/2025,23/10/2025,Quality Meats,224,Low,2,20%
Yogurt,Dairy,07/10/2025,26/10/2025,DairyLand,17,Medium,5,5%
Cheddar Cheese,Dairy,19/10/2025,07/12/2025,DairyLand,127,High,47,0%
Chicken Breast,Meat,19/10/2025,26/10/2025,Quality Meats,98,High,5,15%
Yogurt,Dairy,18/10/2025,07/11/2025,DairyLand,267,Low,17,5%
Baguette,Bakery,21/10/2025,24/10/2025,DailyBread,32,Low,3,20%
Chicken Breast,Meat,17/10/2025,23/10/2025,Quality Meats,24,High,2,20%
Frozen Pizza,Frozen,16/07/2025,01/09/2026,QuickMeals,189,Low,315,0%
Chicken Breast,Meat,15/10/2025,22/10/2025,Quality Meats,164,High,1,20%
Yogurt,Dairy,04/10/2025,23/10/2025,DairyLand,28,High,2,20%
Soda (6-pack),Beverage,18/07/2025,18/01/2026,Bubbly Co.,187,Low,89,0%
Yogurt,Dairy,02/10/2025,22/10/2025,DairyLand,90,Medium,1,20%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,153,High,1,20%
Yogurt,Dairy,03/10/2025,26/10/2025,DairyLand,108,Medium,5,5%
Bananas,Produce,14/10/2025,22/10/2025,Tropicana,262,Medium,1,20%
Chicken Breast,Meat,21/10/2025,29/10/2025,Quality Meats,93,High,8,0%
Frozen Pizza,Frozen,28/07/2025,01/08/2026,QuickMeals,209,High,284,0%
Fresh Milk,Dairy,11/10/2025,23/10/2025,FarmFresh,10,Low,2,20%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,47,Low,1,20%
Cheddar Cheese,Dairy,05/10/2025,05/12/2025,DairyLand,36,High,45,0%
Frozen Pizza,Frozen,17/01/2025,26/11/2025,QuickMeals,290,High,36,0%
Ground Beef,Meat,20/10/2025,24/10/2025,Quality Meats,159,Low,3,20%
Bananas,Produce,17/10/2025,24/10/2025,Tropicana,253,Medium,3,20%
Ground Beef,Meat,20/10/2025,25/10/2025,Quality Meats,166,High,4,15%
Bananas,Produce,16/10/2025,24/10/2025,Tropicana,192,Low,3,20%
Cheddar Cheese,Dairy,02/09/2025,03/11/2025,DairyLand,75,High,13,0%
Baguette,Bakery,19/10/2025,22/10/2025,DailyBread,97,Medium,1,20%
Frozen Pizza,Frozen,02/01/2025,23/01/2026,QuickMeals,128,Low,94,0%
Frozen Pizza,Frozen,14/10/2025,09/12/2026,QuickMeals,214,Medium,414,0%
Soda (6-pack),Beverage,19/09/2025,16/03/2026,Bubbly Co.,98,High,146,0%
Chicken Breast,Meat,18/10/2025,24/10/2025,Quality Meats,153,Low,3,20%
Fresh Milk,Dairy,10/10/2025,22/10/2025,FarmFresh,269,High,1,20%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,129,High,1,20%
Soda (6-pack),Beverage,13/04/2025,02/11/2025,Bubbly Co.,65,High,12,0%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,157,High,2,20%
Cheddar Cheese,Dairy,25/09/2025,02/12/2025,DairyLand,75,Medium,42,20%
Fresh Milk,Dairy,16/10/2025,25/10/2025,FarmFresh,170,Low,4,15%
Cheddar Cheese,Dairy,08/10/2025,25/11/2025,DairyLand,178,Low,35,0%
Apples,Produce,12/10/2025,04/11/2025,Orchard Gold,287,Low,14,10%
Yogurt,Dairy,16/10/2025,03/11/2025,DairyLand,131,Low,13,10%
Yogurt,Dairy,20/10/2025,07/11/2025,DairyLand,72,Low,17,0%
Chicken Breast,Meat,17/10/2025,25/10/2025,Quality Meats,264,Medium,4,15%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,206,Low,2,20%
Fresh Milk,Dairy,20/10/2025,30/10/2025,FarmFresh,106,Low,9,10%
Yogurt,Dairy,11/10/2025,30/10/2025,DairyLand,93,Low,9,10%
Ground Beef,Meat,19/10/2025,23/10/2025,Quality Meats,122,High,2,20%
Fresh Milk,Dairy,18/10/2025,28/10/2025,FarmFresh,25,Medium,7,5%
Soda (6-pack),Beverage,30/09/2025,28/02/2026,Bubbly Co.,27,High,130,0%
Frozen Pizza,Frozen,05/10/2025,30/08/2026,QuickMeals,95,High,313,0%
Apples,Produce,09/10/2025,30/10/2025,Orchard Gold,72,Low,9,10%
Ground Beef,Meat,21/10/2025,26/10/2025,Quality Meats,154,Low,5,15%
Yogurt,Dairy,21/10/2025,07/11/2025,DairyLand,218,Low,17,0%
Apples,Produce,16/10/2025,12/11/2025,Orchard Gold,123,Low,22,0%
Fresh Milk,Dairy,15/10/2025,28/10/2025,FarmFresh,221,High,7,10%
Yogurt,Dairy,15/10/2025,06/11/2025,DairyLand,100,Medium,16,0%
Frozen Pizza,Frozen,01/05/2025,17/04/2026,QuickMeals,197,Medium,178,0%
Apples,Produce,02/10/2025,26/10/2025,Orchard Gold,101,Low,5,15%
Bananas,Produce,18/10/2025,27/10/2025,Tropicana,148,High,6,0%
Baguette,Bakery,19/10/2025,22/10/2025,DailyBread,157,Medium,1,20%
Bananas,Produce,15/10/2025,24/10/2025,Tropicana,182,Medium,3,20%
Soda (6-pack),Beverage,14/06/2025,26/12/2025,Bubbly Co.,252,Medium,66,0%
Yogurt,Dairy,07/10/2025,25/10/2025,DairyLand,293,Medium,4,10%
Frozen Pizza,Frozen,21/10/2025,25/10/2026,QuickMeals,15,High,369,20%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,170,Low,2,20%
Chicken Breast,Meat,19/10/2025,25/10/2025,Quality Meats,185,Medium,4,15%
Yogurt,Dairy,15/10/2025,06/11/2025,DairyLand,155,Medium,16,0%
Cheddar Cheese,Dairy,08/09/2025,17/11/2025,DairyLand,12,Low,27,0%
Chicken Breast,Meat,15/10/2025,22/10/2025,Quality Meats,140,Medium,1,20%
Chicken Breast,Meat,19/10/2025,24/10/2025,Quality Meats,292,Low,3,20%
Apples,Produce,12/10/2025,03/11/2025,Orchard Gold,106,Low,13,10%
Chicken Breast,Meat,19/10/2025,27/10/2025,Quality Meats,153,Low,6,15%
Soda (6-pack),Beverage,15/06/2025,04/01/2026,Bubbly Co.,206,Low,75,0%
Soda (6-pack),Beverage,03/06/2025,23/11/2025,Bubbly Co.,12,Medium,33,0%
Yogurt,Dairy,06/10/2025,26/10/2025,DairyLand,220,Low,5,15%
Frozen Pizza,Frozen,03/02/2025,24/11/2025,QuickMeals,111,High,34,15%
Apples,Produce,01/10/2025,23/10/2025,Orchard Gold,28,High,2,20%
Bananas,Produce,21/10/2025,28/10/2025,Tropicana,122,Low,7,15%
Soda (6-pack),Beverage,13/09/2025,10/04/2026,Bubbly Co.,95,Medium,171,0%
Cheddar Cheese,Dairy,04/10/2025,03/12/2025,DairyLand,92,Medium,43,0%
Cheddar Cheese,Dairy,04/10/2025,07/12/2025,DairyLand,28,High,47,0%
Chicken Breast,Meat,20/10/2025,25/10/2025,Quality Meats,187,Medium,4,15%
Fresh Milk,Dairy,12/10/2025,24/10/2025,FarmFresh,133,Medium,3,20%
Bananas,Produce,17/10/2025,23/10/2025,Tropicana,93,Low,2,20%
Bananas,Produce,18/10/2025,25/10/2025,Tropicana,53,Low,4,15%
Yogurt,Dairy,08/10/2025,29/10/2025,DairyLand,203,Low,8,10%
Apples,Produce,21/10/2025,19/11/2025,Orchard Gold,273,High,29,0%
Chicken Breast,Meat,17/10/2025,24/10/2025,Quality Meats,278,Low,3,20%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,64,Low,2,20%
Bananas,Produce,21/10/2025,28/10/2025,Tropicana,293,Medium,7,10%
Fresh Milk,Dairy,15/10/2025,28/10/2025,FarmFresh,293,High,7,10%
Chicken Breast,Meat,19/10/2025,27/10/2025,Quality Meats,215,Medium,6,10%
Bananas,Produce,16/10/2025,24/10/2025,Tropicana,135,Low,3,20%
Yogurt,Dairy,16/10/2025,01/11/2025,DairyLand,224,Low,11,10%
Frozen Pizza,Frozen,10/05/2025,15/04/2026,QuickMeals,237,Medium,176,10%
Cheddar Cheese,Dairy,14/09/2025,14/11/2025,DairyLand,254,Medium,24,0%
Bananas,Produce,17/10/2025,23/10/2025,Tropicana,168,Medium,2,20%
Bananas,Produce,18/10/2025,26/10/2025,Tropicana,80,High,5,0%
Cheddar Cheese,Dairy,11/10/2025,28/11/2025,DairyLand,43,Low,38,0%
Cheddar Cheese,Dairy,02/10/2025,11/12/2025,DairyLand,279,Medium,51,0%
Chicken Breast,Meat,16/10/2025,22/10/2025,Quality Meats,263,Low,1,20%
Frozen Pizza,Frozen,05/11/2024,25/10/2025,QuickMeals,20,Medium,4,0%
Soda (6-pack),Beverage,10/10/2025,22/03/2026,Bubbly Co.,64,High,152,0%
Fresh Milk,Dairy,11/10/2025,23/10/2025,FarmFresh,52,Low,2,20%
Baguette,Bakery,20/10/2025,23/10/2025,DailyBread,145,Medium,2,20%
Bananas,Produce,20/10/2025,26/10/2025,Tropicana,37,Low,5,5%
Soda (6-pack),Beverage,10/05/2025,05/12/2025,Bubbly Co.,50,Medium,45,0%
Apples,Produce,03/10/2025,27/10/2025,Orchard Gold,152,High,6,5%
Apples,Produce,06/10/2025,27/10/2025,Orchard Gold,85,High,6,0%
Fresh Milk,Dairy,21/10/2025,04/11/2025,FarmFresh,264,High,14,10%
Bananas,Produce,20/10/2025,27/10/2025,Tropicana,163,Low,6,15%
Fresh Milk,Dairy,12/10/2025,22/10/2025,FarmFresh,107,High,1,20%
Frozen Pizza,Frozen,22/05/2025,08/07/2026,QuickMeals,112,Medium,260,0%
Ground Beef,Meat,20/10/2025,24/10/2025,Quality Meats,233,Medium,3,20%
Cheddar Cheese,Dairy,25/09/2025,29/11/2025,DairyLand,93,High,39,0%
Apples,Produce,16/10/2025,08/11/2025,Orchard Gold,158,Low,18,0%
Yogurt,Dairy,14/10/2025,04/11/2025,DairyLand,146,Medium,14,0%
Soda (6-pack),Beverage,21/06/2025,22/11/2025,Bubbly Co.,252,Low,32,0%
Soda (6-pack),Beverage,26/09/2025,29/03/2026,Bubbly Co.,274,Low,159,0%
Frozen Pizza,Frozen,08/10/2025,14/11/2026,QuickMeals,99,Low,389,0%
Cheddar Cheese,Dairy,31/08/2025,29/10/2025,DairyLand,191,High,8,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,278,High,1,20%
Baguette,Bakery,19/10/2025,22/10/2025,DailyBread,211,High,1,20%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,170,Medium,2,20%
Bananas,Produce,17/10/2025,24/10/2025,Tropicana,177,High,3,20%
Bananas,Produce,17/10/2025,25/10/2025,Tropicana,277,Low,4,15%
Frozen Pizza,Frozen,29/06/2025,10/07/2026,QuickMeals,259,Medium,262,0%
Apples,Produce,13/10/2025,06/11/2025,Orchard Gold,279,Medium,16,0%
Chicken Breast,Meat,19/10/2025,25/10/2025,Quality Meats,166,Low,4,15%
Chicken Breast,Meat,17/10/2025,25/10/2025,Quality Meats,64,Low,4,15%
Frozen Pizza,Frozen,14/04/2025,15/03/2026,QuickMeals,213,Medium,145,0%
Soda (6-pack),Beverage,18/07/2025,03/02/2026,Bubbly Co.,134,Low,105,0%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,20,Low,2,20%
Fresh Milk,Dairy,12/10/2025,23/10/2025,FarmFresh,189,Medium,2,20%
Fresh Milk,Dairy,12/10/2025,25/10/2025,FarmFresh,296,Medium,4,10%
Apples,Produce,02/10/2025,26/10/2025,Orchard Gold,50,High,5,0%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,199,Low,2,20%
Soda (6-pack),Beverage,20/06/2025,20/11/2025,Bubbly Co.,106,Medium,30,0%
Chicken Breast,Meat,20/10/2025,25/10/2025,Quality Meats,190,Low,4,15%
Chicken Breast,Meat,16/10/2025,22/10/2025,Quality Meats,181,Medium,1,20%
Soda (6-pack),Beverage,21/09/2025,18/02/2026,Bubbly Co.,233,Medium,120,0%
Chicken Breast,Meat,18/10/2025,25/10/2025,Quality Meats,293,High,4,15%
Fresh Milk,Dairy,10/10/2025,23/10/2025,FarmFresh,51,Low,2,20%
Cheddar Cheese,Dairy,12/09/2025,05/11/2025,DairyLand,145,Low,15,0%
Chicken Breast,Meat,19/10/2025,26/10/2025,Quality Meats,197,Low,5,15%
Soda (6-pack),Beverage,14/08/2025,24/01/2026,Bubbly Co.,143,Low,95,15%
Cheddar Cheese,Dairy,13/09/2025,12/11/2025,DairyLand,211,High,22,0%
Bananas,Produce,19/10/2025,27/10/2025,Tropicana,251,High,6,10%
Frozen Pizza,Frozen,02/02/2025,05/02/2026,QuickMeals,139,Low,107,0%
Yogurt,Dairy,15/10/2025,06/11/2025,DairyLand,105,High,16,0%
Frozen Pizza,Frozen,05/02/2025,17/12/2025,QuickMeals,125,High,57,0%
Bananas,Produce,17/10/2025,25/10/2025,Tropicana,58,Low,4,15%
Bananas,Produce,17/10/2025,24/10/2025,Tropicana,297,Medium,3,20%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,23,Low,2,20%
Soda (6-pack),Beverage,11/09/2025,22/03/2026,Bubbly Co.,233,Low,152,0%
Baguette,Bakery,20/10/2025,22/10/2025,DailyBread,151,High,1,20%
Bananas,Produce,14/10/2025,23/10/2025,Tropicana,88,High,2,20%
Fresh Milk,Dairy,11/10/2025,25/10/2025,FarmFresh,22,High,4,0%
Apples,Produce,03/10/2025,26/10/2025,Orchard Gold,165,Medium,5,0%
Cheddar Cheese,Dairy,11/10/2025,10/12/2025,DairyLand,140,Medium,50,0%
Yogurt,Dairy,03/10/2025,22/10/2025,DairyLand,176,Medium,1,5%
Chicken Breast,Meat,19/10/2025,25/10/2025,Quality Meats,53,Medium,4,20%
Fresh Milk,Dairy,19/10/2025,29/10/2025,FarmFresh,90,Low,8,10%
Soda (6-pack),Beverage,29/06/2025,09/12/2025,Bubbly Co.,134,Medium,49,0%
Apples,Produce,17/10/2025,11/11/2025,Orchard Gold,29,Medium,21,0%
Baguette,Bakery,21/10/2025,23/10/2025,DailyBread,189,Medium,2,20%
Baguette,Bakery,21/10/2025,24/10/2025,DailyBread,270,High,3,20%
