Category,Days_Left,Stock_Available,Sales_Last_Week,Target_Discount
Frozen,44,180,31,2.03
Pantry,30,88,23,2.27
Pantry,55,44,20,0.7
Meat,55,12,2,0.67
Pantry,33,91,60,5.2
Beverage,14,53,68,0.38
Frozen,89,104,14,2.42
Meat,88,127,43,3.77
Frozen,12,35,93,6.61
Beverage,23,136,77,2.15
Dairy,53,87,80,3.86
Beverage,8,100,88,7.14
Frozen,67,142,9,0.0
Bakery,29,11,73,1.06
Bakery,33,38,32,0.0
Beverage,79,97,62,0.0
Bakery,11,114,77,12.76
Frozen,79,81,88,0.0
Frozen,33,10,99,0.0
Bakery,22,197,5,5.98
Meat,9,184,8,24.33
Produce,54,99,18,0.0
Beverage,79,13,86,1.09
Meat,49,42,37,0.0
Pantry,26,15,17,0.84
Bakery,47,70,33,2.19
Produce,51,124,35,0.68
Bakery,63,21,19,0.0
Frozen,10,148,52,6.95
Frozen,52,85,27,0.72
Produce,60,83,86,0.0
Pantry,71,174,77,0.0
Dairy,17,14,22,4.46
Bakery,71,172,34,1.75
Bakery,60,81,39,0.0
Dairy,35,130,54,0.0
Pantry,79,112,64,3.98
Bakery,40,191,51,0.0
Bakery,9,47,56,13.14
Meat,20,110,68,6.5
Beverage,74,177,42,0.0
Frozen,57,21,60,2.69
Beverage,14,173,85,2.58
Produce,69,153,94,1.97
Bakery,53,100,62,0.0
Dairy,30,175,89,0.0
Frozen,44,197,86,3.36
Beverage,68,122,78,0.0
Dairy,31,52,77,0.0
Beverage,39,116,77,3.51
Bakery,83,101,97,1.56
Beverage,15,155,25,2.9
Beverage,19,168,24,2.78
Frozen,74,117,82,0.68
Produce,67,34,29,1.49
Produce,79,81,14,0.0
Frozen,45,67,53,0.0
Bakery,33,188,23,0.0
Produce,12,55,50,8.67
Pantry,25,146,91,0.76
Meat,43,32,49,0.0
Dairy,29,195,16,0.0
Bakery,40,43,24,0.13
Bakery,57,124,70,0.0
Dairy,54,23,25,0.5
Dairy,43,173,57,0.0
Meat,8,189,55,11.7
Frozen,75,110,44,0.64
Bakery,85,150,99,0.0
Beverage,29,27,51,0.71
Beverage,73,12,55,0.0
Beverage,33,74,69,3.02
Produce,73,96,43,0.0
Frozen,39,43,49,0.0
Produce,75,78,76,0.0
Frozen,18,64,49,2.17
Produce,48,66,27,0.12
Beverage,43,84,74,0.0
Dairy,66,23,9,0.93
Frozen,55,187,73,1.26
Produce,13,199,89,4.66
Beverage,52,136,67,0.33
Pantry,71,157,33,1.35
Dairy,89,134,4,0.0
Pantry,10,158,91,11.47
Produce,13,26,73,10.44
Beverage,25,28,17,2.7
Dairy,7,199,97,15.85
Frozen,69,156,26,2.5
Dairy,54,90,7,2.09
Dairy,46,33,25,0.99
Beverage,82,146,63,0.58
Produce,1,132,86,45.77
Produce,31,32,68,0.0
Dairy,15,23,30,7.56
Pantry,48,29,85,0.0
Beverage,15,172,78,1.0
Pantry,7,198,45,14.32
Frozen,88,107,75,0.0
Beverage,37,101,99,0.0
Beverage,21,47,53,0.59
Pantry,31,161,6,0.96
Beverage,36,168,0,1.27
Meat,70,178,84,0.0
Dairy,34,193,67,0.0
Pantry,63,69,12,3.05
Dairy,87,96,58,0.0
Frozen,9,85,71,5.7
Meat,37,40,31,0.0
Frozen,6,94,48,12.97
Pantry,47,69,66,1.34
Bakery,89,144,33,1.58
Beverage,72,178,89,0.0
Meat,1,59,25,50.0
Produce,85,11,99,0.0
Dairy,36,143,80,2.63
Pantry,43,86,63,0.0
Produce,74,191,47,0.0
Dairy,24,93,80,3.1
Bakery,28,194,5,2.54
Produce,51,97,92,0.69
Dairy,5,129,16,26.93
Dairy,46,19,29,1.32
Meat,78,168,39,2.77
Beverage,8,56,11,9.57
Produce,52,122,23,1.86
Dairy,41,46,55,0.0
Pantry,70,193,33,0.0
Produce,44,58,89,1.21
Pantry,82,97,94,1.32
Pantry,20,101,59,4.5
Produce,82,46,46,0.0
Frozen,57,68,32,0.41
Pantry,7,111,84,14.41
Beverage,63,198,91,1.02
Dairy,74,161,96,0.0
Pantry,88,190,58,0.92
Bakery,74,80,30,1.0
Produce,70,146,37,0.62
Beverage,77,29,65,0.0
Bakery,1,191,39,50.0
Dairy,36,61,77,0.0
Bakery,73,194,97,0.19
Pantry,22,187,91,3.73
Frozen,69,30,20,2.34
Dairy,58,39,80,0.28
Meat,13,197,74,3.66
Meat,55,195,46,0.0
Meat,71,128,43,0.26
Bakery,26,103,68,0.0
Beverage,63,137,24,0.0
Produce,70,82,14,0.0
Meat,13,93,40,7.09
Bakery,30,121,16,1.91
Dairy,8,137,76,10.37
Produce,41,40,94,0.0
Beverage,78,40,36,2.24
Beverage,83,100,79,0.0
Pantry,79,55,36,0.49
Beverage,4,61,82,19.19
Pantry,70,150,11,0.65
Dairy,59,51,13,0.0
Dairy,5,25,13,27.17
Pantry,56,55,55,1.91
Frozen,33,187,71,0.0
Frozen,50,145,3,0.0
Bakery,9,24,25,10.77
Frozen,59,85,0,0.0
Meat,50,37,93,0.18
Produce,10,103,69,12.61
Dairy,53,43,46,0.02
Frozen,5,54,92,14.06
Meat,26,125,86,2.8
Beverage,28,35,90,2.62
Meat,16,153,94,8.67
Beverage,55,112,70,1.92
Dairy,3,128,9,50.0
Pantry,20,144,15,2.96
Frozen,29,127,42,0.0
Produce,27,36,70,1.56
Pantry,79,79,20,0.0
Bakery,66,53,79,0.0
Pantry,61,47,34,0.0
Meat,43,34,55,0.0
Dairy,14,137,34,9.97
Frozen,88,61,40,0.0
Beverage,65,121,10,5.5
Frozen,41,45,38,0.03
Beverage,17,145,10,1.97
Frozen,31,198,71,0.0
Beverage,46,143,26,2.16
Beverage,51,18,61,0.0
Dairy,44,126,18,0.0
Meat,44,196,54,0.0
Meat,83,91,54,3.56
Bakery,62,170,10,0.0
Bakery,32,144,76,0.0
Bakery,14,127,16,7.73
Beverage,58,198,35,0.42
Beverage,27,187,81,2.11
Produce,2,37,53,38.44
Meat,79,188,69,0.0
Meat,88,140,90,0.0
Dairy,41,187,85,0.0
Dairy,2,36,44,35.91
Bakery,52,72,92,0.0
Dairy,40,185,43,1.73
Dairy,63,124,95,0.0
Meat,8,19,8,12.92
Dairy,75,68,2,0.0
Dairy,42,52,60,2.59
Beverage,32,124,39,0.0
Frozen,83,171,84,0.0
Beverage,83,96,20,0.0
Beverage,59,77,92,1.5
Dairy,84,104,6,0.0
Frozen,69,145,39,0.0
Frozen,57,75,35,0.0
Beverage,87,154,56,0.0
Beverage,2,56,23,24.9
Meat,11,190,77,10.04
Bakery,70,116,57,1.47
Frozen,86,97,80,3.01
Meat,57,163,47,0.35
Meat,31,133,36,0.76
Frozen,41,138,38,0.09
Pantry,78,56,47,1.95
Produce,7,184,59,12.16
Produce,86,60,57,1.67
Dairy,81,160,9,1.45
Pantry,40,130,36,0.0
Dairy,3,73,85,35.37
Pantry,75,179,94,1.6
Pantry,62,135,38,0.0
Meat,88,109,48,4.17
Beverage,3,119,28,21.01
Meat,2,121,16,42.11
Dairy,11,86,79,12.76
Bakery,46,82,45,0.0
Frozen,9,80,4,14.44
Pantry,78,86,53,2.1
Dairy,74,67,6,0.0
Produce,13,61,96,8.59
Dairy,11,158,85,9.05
Dairy,5,73,68,27.06
Frozen,67,89,52,0.93
Frozen,31,116,36,1.0
Beverage,45,40,96,0.0
Frozen,63,137,17,0.0
Produce,9,149,66,10.01
Bakery,56,43,82,2.1
Bakery,22,168,49,6.4
Beverage,25,14,99,0.31
Frozen,48,133,80,2.84
Frozen,6,133,41,10.47
Pantry,52,89,23,0.0
Pantry,15,39,14,2.93
Frozen,76,158,40,0.05
Pantry,80,33,64,0.19
Meat,39,25,80,0.0
Beverage,72,117,51,1.8
Beverage,50,141,55,1.21
Dairy,52,183,96,1.98
Beverage,29,149,37,0.59
Beverage,52,155,32,0.88
Bakery,10,28,51,14.07
Frozen,69,13,86,0.0
Bakery,65,26,42,3.24
Dairy,79,41,19,0.88
Produce,56,94,67,1.25
Pantry,51,69,7,0.0
Pantry,41,65,59,0.0
Frozen,65,141,5,0.0
Dairy,33,79,16,0.27
Meat,84,142,29,2.41
Beverage,28,95,64,0.0
Meat,86,26,89,2.26
Bakery,58,118,7,0.63
Produce,7,94,9,18.86
Beverage,73,192,79,2.47
Beverage,52,93,81,0.6
Meat,27,50,28,3.39
Bakery,81,188,71,0.0
Bakery,44,83,97,2.18
Meat,60,54,70,2.41
Pantry,24,12,85,4.68
Produce,49,56,49,0.0
Frozen,68,109,88,1.87
Pantry,72,83,75,1.82
Beverage,18,44,81,5.03
Frozen,59,46,17,0.4
Bakery,67,138,51,2.1
Dairy,3,161,38,31.61
Bakery,79,185,66,0.0
Produce,89,75,50,1.96
Produce,18,66,27,0.02
Frozen,3,40,20,20.15
Produce,81,191,28,1.4
Produce,82,128,77,0.0
Meat,27,197,92,1.28
Dairy,25,20,19,0.0
Bakery,10,146,25,8.79
Frozen,59,146,49,2.66
Produce,58,118,15,3.45
Beverage,59,45,93,5.11
Bakery,9,113,42,16.86
Meat,32,189,48,0.0
Dairy,40,72,35,0.65
Bakery,29,99,90,0.0
Frozen,58,139,65,0.0
Pantry,48,127,77,0.21
Produce,79,65,7,1.86
Beverage,47,67,91,0.0
Produce,7,21,17,14.94
Frozen,42,82,8,0.0
Dairy,20,28,16,0.26
Meat,68,128,89,0.39
Produce,41,97,32,0.0
Beverage,34,186,2,1.33
Pantry,68,128,34,0.0
Produce,49,47,21,0.0
Beverage,14,111,91,5.91
Beverage,12,160,8,8.44
Dairy,69,41,45,0.0
Dairy,16,52,85,7.51
Meat,69,40,37,2.95
Frozen,25,73,5,1.63
Pantry,22,89,54,1.5
Meat,60,69,52,0.0
Beverage,10,99,67,7.5
Frozen,57,142,36,2.49
Bakery,80,164,76,0.0
Produce,14,79,82,5.26
Meat,77,175,91,0.0
Bakery,56,49,37,3.39
Dairy,87,81,72,0.18
Frozen,87,61,80,0.0
Meat,39,178,67,4.33
Frozen,23,136,54,3.5
Frozen,30,67,88,0.99
Produce,4,24,93,29.43
Pantry,21,61,49,3.28
Beverage,51,17,61,2.68
Pantry,54,107,61,0.0
Meat,86,45,57,0.0
Pantry,49,77,5,2.07
Dairy,18,178,52,0.0
Pantry,25,31,4,1.33
Meat,20,35,81,1.62
Beverage,27,136,58,3.57
Frozen,29,188,88,0.23
Beverage,23,22,81,1.78
Bakery,19,15,22,4.2
Pantry,21,94,50,5.4
Meat,68,70,37,0.0
Pantry,79,17,65,0.0
Dairy,30,48,84,0.0
Bakery,30,144,18,0.0
Bakery,31,163,79,1.8
Frozen,2,73,49,23.25
Frozen,1,13,25,28.37
Produce,14,133,63,6.47
Frozen,4,137,25,19.5
Frozen,16,25,3,0.0
Beverage,69,99,91,2.94
Produce,54,88,56,0.0
Pantry,69,193,51,1.78
Meat,12,106,55,7.05
Bakery,43,115,39,0.26
Dairy,16,141,38,2.28
Bakery,8,52,19,15.79
Dairy,70,148,27,0.0
Meat,13,153,72,5.7
Produce,59,143,11,0.61
Produce,63,31,76,0.0
Bakery,84,45,21,0.0
Pantry,64,82,0,0.0
Beverage,51,19,76,0.0
Dairy,82,32,30,0.0
Produce,33,124,99,1.36
Meat,61,166,86,0.0
Bakery,8,93,92,17.81
Pantry,61,82,53,0.0
Meat,33,62,31,0.0
Bakery,36,33,24,0.0
Beverage,9,68,5,10.27
Dairy,39,177,71,0.01
Produce,5,121,93,27.8
Produce,32,18,88,0.34
Dairy,19,11,31,0.37
Frozen,41,67,94,0.0
Dairy,43,31,14,1.3
Bakery,16,89,64,2.47
Produce,30,94,57,0.0
Beverage,38,105,1,0.35
Produce,24,97,19,0.77
Beverage,54,120,17,0.0
Produce,7,35,89,12.61
Dairy,36,165,87,1.24
Bakery,87,100,5,0.0
Bakery,47,174,32,0.0
Dairy,87,113,59,0.0
Pantry,34,69,98,0.97
Dairy,84,100,66,0.0
Bakery,85,33,73,0.0
Frozen,44,192,53,0.76
Dairy,2,148,85,44.35
Bakery,46,187,76,0.63
Dairy,3,100,5,50.0
Dairy,16,87,21,8.76
Meat,50,106,18,0.68
Meat,36,81,82,1.99
Beverage,81,135,26,0.0
Pantry,78,46,31,0.38
Bakery,72,88,48,0.71
Meat,68,45,72,0.0
Bakery,17,108,97,7.03
Produce,57,38,59,0.0
Meat,13,45,65,4.74
Pantry,1,160,11,50.0
Dairy,48,21,45,0.23
Beverage,22,23,53,0.0
Pantry,76,175,64,1.07
Produce,78,159,92,0.0
Dairy,34,144,45,1.65
Frozen,81,156,1,0.0
Bakery,68,176,57,2.21
Beverage,33,52,47,0.0
Bakery,7,65,99,15.42
Frozen,64,76,39,0.51
Beverage,66,102,44,0.0
Dairy,81,102,29,0.0
Dairy,66,35,78,0.0
Bakery,32,179,1,4.28
Frozen,74,37,32,0.0
Beverage,61,173,13,0.0
Produce,63,164,27,0.0
Produce,9,56,24,11.42
Meat,76,96,81,1.69
Frozen,78,28,5,0.74
Bakery,74,152,38,1.2
Bakery,50,153,47,0.0
Produce,43,180,61,0.92
Meat,40,87,97,1.6
Frozen,52,60,18,0.0
Pantry,80,179,6,0.0
Beverage,53,172,93,0.0
Beverage,10,31,55,6.87
Pantry,78,19,27,0.0
Pantry,3,20,88,21.23
Produce,58,185,63,1.99
Beverage,22,189,29,5.17
Dairy,34,191,68,0.0
Dairy,76,83,25,0.0
Beverage,63,104,5,0.16
Frozen,73,14,92,0.0
Frozen,67,41,92,1.95
Produce,22,77,54,4.22
Frozen,7,32,3,9.24
Frozen,34,181,25,0.0
Frozen,57,145,59,0.0
Pantry,46,190,78,0.54
Bakery,44,11,80,0.0
Beverage,19,155,97,0.94
Frozen,8,58,9,11.11
Produce,77,171,66,0.0
Pantry,24,199,34,2.85
Dairy,78,68,9,0.0
Pantry,38,157,56,0.0
Frozen,83,193,56,0.0
Dairy,74,39,87,0.92
Pantry,54,129,62,2.74
Meat,20,58,68,2.81
Produce,77,115,47,1.05
Bakery,41,89,22,0.0
Beverage,34,23,44,0.0
Bakery,42,141,83,0.0
Beverage,86,48,4,0.0
Frozen,85,163,44,0.0
Meat,34,45,60,0.0
Frozen,14,115,9,4.52
Meat,69,25,89,2.26
Dairy,60,51,43,0.0
Pantry,34,111,73,0.32
Pantry,4,20,18,22.4
Pantry,62,72,32,1.74
Beverage,16,29,26,1.99
Dairy,15,178,70,4.93
Beverage,5,142,47,17.86
Dairy,38,75,68,0.0
Pantry,75,134,47,0.0
Produce,24,39,81,4.89
Dairy,49,182,8,0.0
Pantry,16,172,74,5.27
Dairy,36,190,31,3.77
Meat,32,198,43,0.0
Meat,1,199,19,50.0
Meat,70,114,7,0.12
Bakery,53,181,35,0.0
Bakery,59,117,33,0.0
Dairy,67,115,78,0.63
Frozen,48,91,60,0.42
Dairy,41,132,67,0.0
Frozen,47,35,94,0.0
Frozen,48,178,94,2.91
Bakery,24,66,74,0.0
Produce,60,136,21,0.13
Meat,83,72,43,1.67
Bakery,41,152,35,1.69
Frozen,58,149,48,1.02
Dairy,68,133,25,0.0
Bakery,36,102,89,0.0
Meat,57,41,55,0.0
Meat,81,183,30,0.0
Produce,1,36,34,46.44
Dairy,21,11,86,3.76
Bakery,24,98,44,0.14
Bakery,24,23,49,0.11
Dairy,66,50,5,0.0
Produce,62,92,65,0.0
Dairy,1,113,80,47.07
Frozen,75,164,77,2.63
Dairy,31,166,75,0.0
Dairy,31,148,24,0.0
Produce,71,186,78,0.0
Bakery,23,38,50,3.8
Pantry,33,101,22,0.0
Pantry,58,71,73,0.27
Meat,13,100,79,7.12
Produce,27,140,62,0.0
Pantry,17,22,22,3.74
Pantry,44,164,34,0.0
Pantry,9,129,12,7.9
Beverage,12,168,27,6.37
Bakery,52,75,83,0.0
Produce,55,35,31,0.0
Dairy,61,150,75,2.03
Beverage,64,190,24,0.0
Produce,47,100,30,0.0
Beverage,65,10,21,0.0
Dairy,31,174,7,1.77
Pantry,4,194,92,26.35
Meat,46,93,58,0.0
Beverage,37,22,46,2.09
Produce,72,31,50,0.62
Bakery,2,41,96,43.88
Dairy,47,144,8,4.06
Dairy,7,195,31,16.47
Dairy,44,41,30,0.0
Produce,75,115,72,0.0
Frozen,4,126,91,21.43
Bakery,84,181,54,0.09
Pantry,64,138,58,1.79
Frozen,8,167,8,16.14
Produce,13,189,12,9.74
Produce,46,197,97,2.69
Bakery,69,96,12,0.0
Produce,56,101,10,2.95
Dairy,65,191,18,2.3
Produce,9,84,0,23.63
Produce,17,152,59,2.24
Bakery,11,181,5,14.84
Meat,42,43,5,0.0
Meat,76,173,46,0.0
Meat,22,139,71,4.44
Pantry,69,81,31,1.6
Beverage,35,43,44,0.0
Meat,78,20,88,0.0
Meat,66,165,74,0.0
Meat,31,138,86,0.13
Produce,65,174,75,0.0
Meat,4,148,5,50.0
Dairy,70,76,38,0.0
Frozen,50,79,62,0.0
Beverage,16,32,51,4.77
Dairy,20,116,26,4.01
Beverage,7,106,36,9.6
Frozen,69,127,61,0.0
Produce,34,72,25,0.69
Dairy,89,115,20,0.0
Meat,53,25,81,0.6
Produce,8,55,43,11.01
Dairy,3,177,0,50.0
Bakery,54,190,31,0.0
Dairy,9,196,30,14.62
Meat,77,74,99,0.0
Produce,51,182,33,0.0
Dairy,60,83,64,0.4
Dairy,61,14,70,0.61
Beverage,6,53,32,18.12
Pantry,13,138,34,6.98
Pantry,9,56,26,8.66
Dairy,79,47,83,0.43
Produce,55,171,32,0.02
Pantry,50,77,92,1.97
Produce,29,199,9,0.0
Meat,78,175,83,3.74
Produce,39,135,84,0.0
Produce,56,86,62,1.13
Bakery,42,29,41,0.07
Meat,17,14,9,3.98
Pantry,53,75,63,1.31
Beverage,87,28,47,0.0
Beverage,81,112,72,1.59
Frozen,80,170,23,0.0
Dairy,10,43,40,11.18
Pantry,46,127,27,0.0
Frozen,3,133,81,16.05
Produce,43,118,84,0.0
Bakery,70,52,14,1.25
Pantry,59,143,15,0.0
Beverage,54,132,55,3.44
Dairy,60,130,86,2.48
Bakery,73,197,94,0.0
Meat,46,99,48,3.17
Pantry,34,146,11,2.11
Pantry,16,32,19,4.21
Meat,56,87,99,5.86
Beverage,22,78,39,3.13
Dairy,16,30,37,4.84
Bakery,77,115,11,0.0
Beverage,41,164,88,0.0
Bakery,2,22,42,45.21
Pantry,68,40,79,0.0
Pantry,9,180,21,8.31
Bakery,25,78,73,1.92
Meat,47,138,41,1.15
Beverage,11,176,70,6.93
Produce,48,87,19,0.0
Dairy,2,55,6,38.09
Bakery,82,40,71,0.93
Beverage,84,124,68,1.01
Pantry,78,86,92,0.11
Produce,22,192,90,3.0
Beverage,39,132,51,1.3
Beverage,43,109,41,2.12
Dairy,14,153,51,7.36
Meat,13,111,77,8.6
Dairy,64,196,44,1.59
Frozen,51,82,78,0.0
Beverage,71,91,32,0.16
Beverage,25,29,0,1.92
Frozen,71,180,97,0.74
Produce,19,70,22,5.38
Meat,23,115,27,2.2
Dairy,28,123,25,0.0
Meat,41,92,16,1.88
Beverage,79,106,97,2.87
Pantry,51,16,27,1.41
Frozen,66,66,25,0.0
Dairy,17,191,36,4.47
Dairy,71,115,27,0.93
Dairy,15,125,81,4.71
Bakery,45,182,73,0.17
Meat,59,71,19,0.0
Frozen,89,188,68,0.18
Dairy,25,101,6,1.11
Produce,30,142,93,0.0
Meat,66,131,64,0.0
Beverage,70,69,35,0.32
Beverage,71,78,7,0.04
Produce,9,49,6,10.81
Beverage,45,134,11,0.0
Pantry,85,54,66,0.0
Beverage,7,98,84,10.22
Meat,56,99,68,2.04
Frozen,49,60,60,1.25
Frozen,23,172,37,1.7
Pantry,8,115,59,10.29
Dairy,26,156,90,0.0
Pantry,84,118,50,0.0
Beverage,37,38,95,1.17
Produce,32,145,0,0.0
Pantry,6,72,26,17.67
Meat,11,105,86,12.12
Produce,32,129,22,0.0
Meat,31,33,16,0.0
Pantry,67,100,59,0.57
Dairy,55,12,35,0.0
Beverage,38,12,66,0.0
Pantry,66,125,17,2.7
Beverage,76,166,41,0.0
Bakery,67,21,88,3.53
Beverage,35,25,81,1.02
Dairy,45,11,6,0.97
Meat,33,135,61,0.0
Bakery,41,35,62,0.0
Pantry,60,32,15,0.39
Frozen,51,141,5,0.0
Pantry,35,27,91,0.78
Pantry,60,23,42,0.0
Produce,63,77,3,3.07
Pantry,66,130,80,2.57
Frozen,27,62,43,0.0
Frozen,37,50,67,1.08
Bakery,64,31,55,0.0
Beverage,37,34,24,2.71
Beverage,64,199,13,0.0
Pantry,56,117,8,3.32
Beverage,80,96,41,2.16
Pantry,26,170,74,4.25
Bakery,73,102,70,0.0
Pantry,82,83,20,3.32
Meat,4,182,84,36.39
Bakery,35,10,81,0.0
Dairy,11,42,71,12.23
Meat,19,63,90,0.0
Pantry,3,23,18,25.01
Beverage,35,129,44,0.0
Produce,20,42,94,0.0
Dairy,25,161,66,1.94
Dairy,86,34,45,0.0
Bakery,28,73,73,0.0
Dairy,56,47,79,0.0
Produce,69,120,75,0.0
Dairy,85,81,35,0.0
Produce,36,167,11,0.55
Pantry,38,149,16,1.73
Bakery,70,146,8,0.0
Bakery,8,135,85,15.12
Frozen,5,182,60,15.6
Pantry,58,116,31,0.0
Meat,32,195,61,1.34
Frozen,75,44,83,0.0
Meat,73,81,67,1.19
Pantry,88,161,99,2.5
Produce,83,13,13,0.47
Pantry,60,164,35,0.0
Bakery,7,92,9,17.68
Bakery,48,12,72,2.08
Bakery,57,49,52,0.2
Bakery,19,165,55,5.08
Meat,80,33,16,0.0
Bakery,48,163,51,1.61
Pantry,83,149,78,0.0
Frozen,45,35,59,0.0
Pantry,73,142,31,0.34
Meat,76,32,2,0.0
Beverage,58,138,47,0.49
Beverage,37,136,71,0.0
Dairy,40,52,74,0.15
Beverage,88,65,60,1.03
Beverage,74,88,72,1.88
Pantry,57,48,0,1.77
Meat,28,110,88,4.13
Dairy,86,198,60,0.0
Frozen,27,116,98,0.83
Beverage,15,184,21,2.26
Dairy,53,56,64,0.0
Frozen,29,175,33,0.0
Beverage,49,114,80,0.21
Pantry,70,140,88,0.0
Beverage,45,161,97,0.0
Dairy,83,103,59,4.26
Bakery,68,123,6,0.0
Produce,68,160,27,0.56
Pantry,83,151,85,0.42
Produce,87,199,39,1.05
Beverage,71,73,45,0.0
Produce,62,169,70,0.0
Beverage,80,32,14,0.97
Bakery,19,14,14,1.69
Frozen,26,45,75,0.0
Pantry,18,185,64,4.53
Meat,17,53,38,3.69
Beverage,77,143,47,0.0
Dairy,42,109,62,0.84
Frozen,78,186,87,0.0
Pantry,1,43,30,35.88
Dairy,47,96,55,1.08
Frozen,18,65,62,4.97
Beverage,8,153,91,8.34
Pantry,52,87,8,1.04
Frozen,8,29,89,6.24
Pantry,22,166,76,2.76
Dairy,74,82,51,2.29
Meat,38,193,66,2.25
Meat,69,114,60,0.0
Beverage,14,63,88,6.47
Frozen,19,27,81,0.0
Bakery,23,118,26,2.12
Bakery,84,43,62,0.0
Meat,16,126,92,2.39
Pantry,63,121,9,1.58
Dairy,51,155,91,1.35
Frozen,86,31,85,0.0
Beverage,3,136,63,20.29
Bakery,24,102,27,3.68
Pantry,74,186,70,0.0
Dairy,64,42,91,1.94
Bakery,37,150,46,0.92
Meat,23,195,5,4.08
Meat,31,17,12,2.97
Produce,86,133,18,4.68
Frozen,65,178,40,0.79
Meat,58,32,70,0.99
Meat,36,87,16,0.84
Beverage,23,30,99,1.85
Pantry,88,51,72,0.0
Beverage,52,62,11,0.0
Bakery,69,119,33,0.0
Produce,85,20,34,0.0
Frozen,6,179,61,11.16
Dairy,11,188,22,13.13
Meat,17,155,85,2.02
Meat,13,33,71,4.24
Pantry,84,196,7,0.37
Beverage,15,108,17,8.82
